Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-6081,3003,"0x0BBB",0,-6081.602,0.602,-6080.859,-0.141
-6080,3004,"0x0BBC",1,-6080.430,0.430,-6079.688,-0.313
-6079,3005,"0x0BBD",1,-6079.258,0.258,-6078.516,-0.484
-6078,3006,"0x0BBE",1,-6078.086,0.086,-6077.344,-0.656
-6077,3007,"0x0BBF",1,-6076.914,-0.086,-6076.172,-0.828
-6076,3008,"0x0BC0",1,-6075.742,-0.258,-6075.000,-1.000
-6075,3008,"0x0BC0",0,-6075.742,0.742,-6075.000,0.000
-6074,3009,"0x0BC1",1,-6074.570,0.570,-6073.828,-0.172
-6073,3010,"0x0BC2",1,-6073.398,0.398,-6072.656,-0.344
-6072,3011,"0x0BC3",1,-6072.226,0.226,-6071.484,-0.516
-6071,3012,"0x0BC4",1,-6071.054,0.054,-6070.313,-0.688
-6070,3013,"0x0BC5",1,-6069.882,-0.118,-6069.141,-0.859
-6069,3014,"0x0BC6",1,-6068.710,-0.290,-6067.969,-1.031
-6068,3014,"0x0BC6",0,-6068.710,0.710,-6067.969,-0.031
-6067,3015,"0x0BC7",1,-6067.538,0.538,-6066.797,-0.203
-6066,3016,"0x0BC8",1,-6066.366,0.366,-6065.625,-0.375
-6065,3017,"0x0BC9",1,-6065.194,0.194,-6064.453,-0.547
-6064,3018,"0x0BCA",1,-6064.021,0.021,-6063.281,-0.719
-6063,3019,"0x0BCB",1,-6062.849,-0.151,-6062.109,-0.891
